Yaw,Pitch,Temperature (C),Pressure (hPa),Humidity,Battery voltage
354,3,40,1005,0,4
352,2,40,1005,0,4
352,2,40,1005,0,4
354,2,40,1005,0,4
354,3,40,1005,0,4
352,3,40,1005,0,4
352,3,40,1005,0,4
354,2,40,1005,0,4
354,3,40,1005,0,4
354,3,40,1005,0,4
354,3,40,1005,0,4
354,3,40,1005,0,4
354,2,40,1005,0,4
354,2,40,1005,0,4
352,3,40,1005,0,4
354,2,40,1005,0,4
354,3,40,1005,0,4
354,4,40,1005,0,4
354,3,40,1005,0,4
352,3,40,1005,0,4
352,4,40,1005,0,4
352,2,40,1005,0,4
352,3,40,1005,0,4
354,2,40,1005,0,4
354,4,40,1005,0,4
354,3,40,1005,0,4
354,2,40,1005,0,4
354,2,40,1005,0,4
354,3,40,1005,0,4
354,2,40,1005,0,4
352,3,40,1005,0,4
352,1,40,1005,0,4
352,2,40,1005,0,4
352,3,40,1005,0,4
352,2,40,1005,0,4
352,2,40,1005,0,4
346,2,40,1005,0,4
348,7,40,1005,0,4
352,5,40,1005,0,4
14,2,40,1005,0,4
42,10,40,1005,0,4
42,0,40,1005,0,4
84,4,40,1005,0,4
98,4,40,1005,0,4
102,3,40,1005,0,4
114,1,40,1005,0,4
128,1,40,1005,0,4
138,0,40,1005,0,4
144,1,40,1005,0,4
114,1,40,1005,0,4
100,6,40,1005,0,4
74,3,40,1005,0,4
48,2,40,1005,0,4
4,0,40,1005,0,4
310,4,40,1005,0,4
256,4,40,1005,0,4
204,2,40,1005,0,4
166,0,40,1005,0,4
176,3,40,1005,0,4
184,2,40,1005,0,4
120,0,40,1005,0,4
102,2,40,1005,0,4
96,3,40,1005,0,4
108,1,40,1005,0,4
180,0,40,1005,0,4
172,6,40,1005,0,4
174,2,40,1005,0,4
234,1,40,1005,0,4
232,0,40,1005,0,4
224,1,40,1005,0,4
142,1,40,1005,0,4
150,9,40,1005,0,4
126,9,40,1005,0,4
70,0,40,1010,0,4
48,4,40,1005,0,4
60,3,40,1005,0,4
