Seconds,Yaw,Pitch,Temperature (C),Pressure (hPa),Humidity,Battery voltage
1,74,84,42,1005,0,4
2,34,70,42,1000,0,4
3,36,80,42,1000,0,4
4,40,80,42,1000,0,4
5,134,87,42,1000,0,4
6,250,76,42,1000,0,4
7,292,70,42,1000,0,4
8,96,84,42,1000,0,4
9,132,60,42,1000,0,4
10,56,59,42,1000,0,4
11,38,33,42,995,0,4
12,192,74,42,995,0,4
13,190,72,42,995,0,4
14,68,73,42,995,0,4
15,92,78,42,995,0,4
16,42,75,42,995,0,4
17,64,68,42,990,0,4
18,68,62,42,990,0,4
19,266,79,42,990,0,4
20,224,68,42,990,0,4
21,122,50,42,990,0,4
22,136,76,42,990,0,4
23,346,84,42,990,0,4
24,154,65,42,990,0,4
25,152,85,42,990,0,4
26,276,72,42,990,0,4
27,30,63,42,985,0,4
28,12,85,42,985,0,4
29,202,69,42,985,0,4
30,170,75,42,985,0,4
31,342,52,42,985,0,4
32,276,49,42,985,0,4
33,208,68,42,985,0,4
34,62,67,42,980,0,4
35,44,64,42,980,0,4
36,30,69,42,980,0,4
37,334,73,42,980,0,4
38,320,62,42,980,0,4
39,320,48,42,980,0,4
40,84,78,42,980,0,4
41,30,66,42,975,0,4
42,342,78,42,975,0,4
43,0,54,42,975,0,4
44,282,60,42,975,0,4
45,260,75,42,975,0,4
46,190,77,42,975,0,4
47,136,60,42,975,0,4
48,72,52,42,975,0,4
49,50,61,41,975,0,4
50,48,56,42,975,0,4
51,38,51,41,975,0,4
52,324,76,41,970,0,4
53,308,74,41,970,0,4
54,30,52,41,970,0,4
55,56,76,41,970,0,4
56,328,77,41,970,0,4
57,220,74,41,970,0,4
58,232,73,41,970,0,4
59,270,81,41,965,0,4
60,276,57,41,965,0,4
61,82,77,41,965,0,4
62,354,76,41,965,0,4
63,348,72,41,965,0,4
64,316,72,41,965,0,4
65,252,78,41,965,0,4
66,292,73,41,965,0,4
67,194,84,41,960,0,4
68,134,83,41,960,0,4
69,76,77,41,960,0,4
70,40,57,41,960,0,4
71,6,63,41,960,0,4
72,336,65,41,960,0,4
73,326,69,41,960,0,4
74,28,84,41,960,0,4
75,2,76,41,960,0,4
76,344,71,40,955,0,4
77,6,52,40,955,0,4
78,196,79,40,955,0,4
79,270,79,40,955,0,4
80,22,32,40,955,0,4
81,156,64,40,955,0,4
82,84,88,40,955,0,4
83,38,80,40,955,0,4
84,50,64,40,955,0,4
85,30,72,40,955,0,4
86,10,61,40,955,0,4
87,26,40,40,955,0,4
88,176,53,40,950,0,4
89,62,78,40,950,0,4
90,272,84,40,950,0,4
91,212,77,40,950,0,4
92,194,83,40,950,0,4
93,356,38,40,950,0,4
94,130,67,40,945,0,4
95,8,66,40,945,0,4
96,20,80,40,945,0,4
97,10,77,39,945,0,4
98,336,59,39,945,0,4
99,0,39,39,945,0,4
100,12,78,39,945,0,4
101,26,77,39,945,0,4
102,52,82,39,940,0,4
103,340,63,39,940,0,4
104,310,84,39,940,0,4
105,338,68,39,940,0,4
106,102,60,39,940,0,4
107,184,68,39,940,0,4
108,70,50,39,940,0,4
109,240,79,39,940,0,4
110,268,81,39,940,0,4
111,232,83,39,940,0,4
112,358,74,39,940,0,4
113,352,69,39,935,0,4
114,348,46,39,935,0,4
115,98,64,39,935,0,4
116,56,81,39,935,0,4
117,200,62,39,935,0,4
118,190,70,39,935,0,4
119,48,77,39,935,0,4
120,268,75,39,935,0,4
121,176,66,38,935,0,4
122,230,74,38,935,0,4
123,12,79,38,935,0,4
124,68,76,38,935,0,4
125,84,70,38,935,0,4
126,40,78,38,930,0,4
127,184,73,38,930,0,4
128,112,75,38,930,0,4
129,48,72,38,930,0,4
130,48,78,38,930,0,4
131,52,78,38,930,0,4
132,344,66,38,930,0,4
133,12,41,38,930,0,4
134,44,88,38,930,0,4
135,242,58,38,930,0,4
136,216,82,38,925,0,4
137,344,62,38,925,0,4
138,326,67,38,925,0,4
139,274,84,38,925,0,4
140,198,74,38,925,0,4
141,186,80,38,925,0,4
142,246,78,38,925,0,4
143,304,81,38,925,0,4
144,346,51,38,925,0,4
145,282,63,38,925,0,4
146,306,80,38,925,0,4
147,12,33,38,920,0,4
148,58,66,37,920,0,4
149,324,82,37,920,0,4
150,334,59,37,920,0,4
151,358,76,37,920,0,4
152,44,80,37,920,0,4
153,38,60,37,920,0,4
154,298,74,37,920,0,4
155,134,88,37,915,0,4
156,318,70,37,915,0,4
157,310,50,37,915,0,4
158,286,67,37,915,0,4
159,154,73,37,915,0,4
160,226,79,37,915,0,4
161,154,85,37,915,0,4
162,60,69,37,915,0,4
163,284,70,37,915,0,4
164,264,79,37,915,0,4
165,294,77,37,915,0,4
166,20,80,37,910,0,4
167,50,67,37,910,0,4
168,44,46,37,910,0,4
169,72,52,37,910,0,4
170,332,79,37,910,0,4
171,58,85,37,910,0,4
