Designator,Footprint,Quantity,Value,LCSC Part #
AE1,RAINSUN_GPS1003,1,Antenna_Chip,
"BT1, BT2",BatteryHolder_BK-82,2,AAA,
"C1, C11, C13, C16, C18, C23, C26, C7, C9",0805,9,100nF,
"C10, C15, C22, C4",0805,4,10uF,
C12,0805,1,1 uF (BT1),
C14,0805,1,100 nF (XTAL1),
C17,0805,1,1uF,
C19,0805,1,100 pF (XTAL1),
C2,0805,1,10 nF (U2),
"C20, C21",0805,2,100 nF (J1),
"C24, C25",0805,2,1 uF (U1),
"C27, C33",1206,2,100nF (U7),
C28,1206,1,22uF (U7),
C29,0805,1,100nF (U7),
"C3, C5",0805,2,22pF,
C30,1210,1,47uF (J10),
C31,1210,1,47uF (J7),
C32,1210,1,47uF (J9),
C34,1206,1,10uF (U7),
C6,0805,1,100 nF (U2),
C8,0805,1,1nF,
"D1, D4",0805,2,LED,
D2,0805,1,AT_LED,
D3,0805,1,ERR_LED,
FB1,0603,1,BLM18AG121SN1D (J1),
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,PinHeader_1x04_P2.54mm_Vertical,1,BME280,
J10,PinHeader_1x03_P2.54mm_Vertical,1,parachute,
J2,PinHeader_2x03_P2.54mm_Vertical,1,AT_ISP,
J3,PinHeader_1x11_P2.54mm_Vertical,1,Signal,
J4,PinHeader_1x04_P2.54mm_Vertical,1,AT_FTDI,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J6,PinHeader_1x05_P2.54mm_Vertical,1,JTAG,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Power,
J8,PinHeader_1x03_P2.54mm_Vertical,1,rudder,
J9,PinHeader_1x03_P2.54mm_Vertical,1,elevator,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,PPS_EN,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,ONE_CELL,
JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,AT_LED_EN,
JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,ERR_LED_EN,
JP5,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,LED_EN,
JP6,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,PS_EN,
L1,0805,1,33nH,
L2,0805,1,10uH,
L3,IND_LPS3015,1,LPS3015-222ML ,
"Q1, Q2, Q3",SOT-23_Handsoldering,3,2N3906,
"Q4, Q5, Q6",SC-59_Handsoldering,3,DMN1019USN-13,
"R1, R11, R12, R5",0805,4,1K,
"R10, R7, R8, R9",0805,4,1.8K,
"R13, R15, R16, R17, R18, R22, R24, R4",0805,8,10K,
"R14, R21, R23",0805,3,10,
R19,0805,1,91K,
"R2, R3",0805,2,1M,
R20,0805,1,820K,
R6,0805,1,5.1 K (J1),
SW1,SW_SPDT_PCM12,1,EEPROM,
SW2,SW_SPST_CK_RS282G05A3,1,AT_RESET,
SW3,SW_SPDT_PCM12,1,AAA,
SW4,SW_SPDT_PCM12,1,PWR_SW,
SW5,SW_SPST_CK_RS282G05A3,1,RESET,
U1,InvenSense_QFN-24_3x3mm_P0.4mm,1,MPU-9250,
U2,ublox_MAX,1,MAX-M10S,
U3,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24C512C-SSHD-T,
U5,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,
U6,SOT-89-3_Handsoldering,1,MCP1700x-330xxTT,
U7,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,
XTAL1,BGA4_SiT1532_SIT,1,SIT1552AI-JF-DCC-32.768D,
Y1,Crystal_HC18-U_Vertical,1,8MHz,
Y2,ECS801033CHNTR,1,ECS-80-10,
